State before win,Win action,Reward
         ,      X  ,0.0
      X  ,     OX  ,0.0
     OX  ,X    OX  ,0.0
X    OX  ,X    OX O,0.0
X    OX O,X    OXXO,0.0
X    OXXO,XO   OXXO,0.0
XO   OXXO,XOX  OXXO,0.0
XOX  OXXO,XOX OOXXO,0.0
XOX OOXXO,XOXXOOXXO,1.0
         ,    X    ,0.0
    X    ,  O X    ,0.0
  O X    ,  O X  X ,0.0
  O X  X ,  O XO X ,0.0
  O XO X , XO XO X ,1.0
      X  ,  O   X  ,0.0
  O   X  ,  O   XX ,0.0
  O   XX ,  OO  XX ,0.0
  OO  XX , XOO  XX ,0.0
 XOO  XX , XOO OXX ,0.0
 XOO OXX , XOOXOXX ,1.0
    X    , O  X    ,0.0
 O  X    , O  X  X ,0.0
 O  X  X , O OX  X ,0.0
 O OX  X , O OX XX ,0.0
 O OX XX , O OX XXO,0.0
 O OX XXO, O OXXXXO,0.0
 O OXXXXO,OO OXXXXO,0.0
OO OXXXXO,OOXOXXXXO,1.0
         , X       ,0.0
 X       , X  O    ,0.0
 X  O    , X  OX   ,0.0
 X  OX   , X  OX  O,0.0
 X  OX  O, XX OX  O,0.0
 XX OX  O, XXOOX  O,0.0
 XXOOX  O, XXOOXX O,0.0
 XXOOXX O, XXOOXXOO,0.0
 XXOOXXOO,XXXOOXXOO,1.0
      X  ,      X O,0.0
      X O, X    X O,0.0
 X    X O, X   OX O,0.0
 X   OX O, XX  OX O,0.0
 XX  OX O,OXX  OX O,0.0
OXX  OX O,OXX XOX O,1.0
    X    ,    X   O,0.0
    X   O,    XX  O,0.0
    XX  O,O   XX  O,0.0
O   XX  O,O X XX  O,0.0
O X XX  O,O XOXX  O,0.0
O XOXX  O,O XOXX XO,0.0
O XOXX XO,O XOXXOXO,-1.0
         ,   X     ,0.0
   X     ,   X    O,0.0
   X    O,   X   XO,0.0
   X   XO,  OX   XO,0.0
  OX   XO, XOX   XO,0.0
 XOX   XO,OXOX   XO,0.0
OXOX   XO,OXOX X XO,0.0
OXOX X XO,OXOXOX XO,-1.0
 X       , X   O   ,0.0
 X   O   , X X O   ,0.0
 X X O   ,OX X O   ,0.0
OX X O   ,OX X O  X,0.0
OX X O  X,OX X OO X,0.0
